listing_id,coe_text
1030324,(2yrs 1mth 13days COE left)                            
1021510,(3yrs 3mths  COE left)                            
1026909,(4yrs 8mths 29days COE left)                            
1019371,(9yrs 22days COE left)                            
1031014,(7yrs 10mths 25days COE left)                            
1027957,"
								N.A.                            "
1012998,(4yrs 1mth 15days COE left)                            
1011676,(9yrs 7mths 28days COE left)                            
991798,(9yrs 6mths 5days COE left)                            
985245,(5yrs 1day COE left)                            
1004029,(5yrs 9mths 19days COE left)                            
1027570,(7yrs 4mths 3days COE left)                            
983829,(8yrs 1mth 15days COE left)                            
1021049,(9yrs 2mths 26days COE left)                            
1020443,(4yrs 5days COE left)                            
1026971,(6yrs 7mths 17days COE left)                            
1028186,(5yrs 1mth 4days COE left)                            
1029277,(4yrs 7mths 22days COE left)                            
961740,(2yrs 9mths 16days COE left)                            
1018033,(1yr 4mths 17days COE left)                            
1016319,(7yrs 11mths 9days COE left)                            
1023603,(8yrs 6days COE left)                            
1010285,(1yr 11mths 4days COE left)                            
1013431,(3yrs 11mths 13days COE left)                            
1028230,(9yrs 4days COE left)                            
993484,(6yrs 6mths 4days COE left)                            
1029724,(3yrs 7mths 16days COE left)                            
1030359,(9yrs 17days COE left)                            
1030764,(8yrs 7mths 22days COE left)                            
978360,(9yrs 4mths 21days COE left)                            
1023295,
1013096,(2yrs 3mths 23days COE left)                            
1016913,(9yrs 2mths 23days COE left)                            
995374,(8yrs 1mth 17days COE left)                            
1009563,(4yrs 7mths 26days COE left)                            
1011233,(9yrs 8mths 4days COE left)                            
1020510,(10yrs  COE left)                            
1022036,(2yrs 3mths 6days COE left)                            
1020120,(10yrs  COE left)                            
1010302,(9yrs 6mths 23days COE left)                            
1015605,(3yrs 9mths 5days COE left)                            
1019244,(1yr 4mths 27days COE left)                            
953072,(9yrs 1mth 20days COE left)                            
1021840,(4yrs 7mths 29days COE left)                            
1017493,(10yrs  COE left)                            
1028855,(9yrs 8mths 5days COE left)                            
1026268,(6yrs 6days COE left)                            
1029034,(4yrs 1mth 26days COE left)                            
986421,(4yrs 11mths 24days COE left)                            
1016410,(4yrs 10mths 6days COE left)                            
1008232,(3yrs 10mths 23days COE left)                            
1028659,(9yrs 7mths 20days COE left)                            
1015232,(9yrs 1mth 26days COE left)                            
976780,(4yrs  COE left)                            
1006097,(5yrs 7mths 6days COE left)                            
965217,(8yrs 5mths 6days COE left)                            
1008845,(3yrs 10mths 8days COE left)                            
1023935,(6mths 4days COE left)                            
1017070,(5yrs 9days COE left)                            
1029304,(5yrs 2mths 29days COE left)                            
